NAME,RANKED_IN,IS_RANKED,V_DISPLAY_SCORE,C_RNK_TOT_RETENTION,R_C_AVG_PCT_GRAD_6YR,PELL_GRADRATE,NONPELL_GRADRATE,DIFF_PELL_GRADRATE,R_C_AVG_PCT_RETENTION,PRED_GRAD_RATE,V_DIFF_GRAD_RATES,C_AVG_REPUTATION_SCORE_T,C_PCT_HS_COUNSELOR,FACULTY_RESOURCES_RANK,R_C_PCT_TOT_FAC_PT,V_FAC_TERMINAL,R_C_PCT_CLASSES_1_19,R_C_PCT_CLASSES_GT_50,V_STUDENT_FACULTY_RATIO,C_RNK_TOT_SELECT,R_C_SAT_ACT_PERCENT,R_C_HS_TOP_10_PCT_CLASS,R_C_HS_TOP_25_PCT_CLASS,C_RNK_LN_AVG_EDU_EXPENSES,C_RNK_ALUM_GIVING_RATE_2YR,R_C_ALUM_GIVING_RATE_2YR
butler-university-1788,Regional Universities Midwest,1,100,2,77,73,80,-7,90,82,-3,4,,9,84.2,80,52.1,3,11:01,2,25-30,46,76,5,1,22
calvin-college-2241,Regional Colleges Midwest,1,100,2,74,61,77,-16,86,72,0,4.1,,28,87.7,90,30.3,1,13:01,3,23-30,28,57,3,6,19.8
carroll-college-2526,Regional Colleges West,1,100,1,66,64,73,-10,81,62,9,3.6,,13,78.9,76,62.3,2,11:01,1,22-28,32,64,7,3,13.5
cooper-union-2710,Regional Colleges North,1,100,1,84,94,81,13,96,90,-7,4.2,,19,50,,73.4,1,7:01,1,1310-1530,51,85,1,1,21.7
creighton-university-2542,Regional Universities Midwest,1,100,5,75,70,83,-13,90,83,-2,4.2,,8,84.4,88,46.1,7,11:01,4,25-30,33,69,2,23,11.8
elon-university-2927,Regional Universities South,1,100,1,83,79,84,-6,90,80,4,4.1,,16,88.7,86,50.7,0,12:01,2,1140-1330,21,54,8,2,22.3
fairfield-university-1385,Regional Universities North,1,100,4,81,80,81,-2,89,82,-1,3.6,,7,71.8,92,43.9,1,12:01,4,1180-1320,41,79,9,6,16.6
high-point-university-2933,Regional Colleges South,1,100,1,64,55,65,-9,80,62,1,3.8,,5,85.4,81,50,1,14:01,3,1050-1240,18,47,9,16,10.1
princeton-university-2627,National Universities,1,100,5,97,95,98,-3,98,96,1,4.9,4.9,4,93.8,94,75.5,10,5:01,10,1430-1570,91,98,10,1,59.1
santa-clara-university-1326,Regional Universities West,1,100,1,87,88,90,-2,95,84,6,4.1,,5,81.7,94,46.8,1,11:01,2,28-32,57,87,3,2,19.2
